Percentage,Average Accuracy
1.0,0.3927416985013225
2.5,0.6034381428151632
5.0,0.8545401116661769
7.5,0.8551278283867175
10.0,0.8887746106376724
15.0,0.8933294152218632
20.0,0.9033205994710549
25.0,0.909050837496327
30.0,0.9093446958565967
35.0,0.9128709961798411
40.0,0.9106670584778134
45.0,0.9163972965030853
50.0,0.9156626506024099
55.0,0.918601234205113
60.0,0.9171319424037615
65.0,0.9178665883044378
70.0,0.9205113135468701
75.0,0.9205113135468701
80.0,0.9209521010872757
85.0,0.9210990302674116
90.0,0.9216867469879519
95.0,0.921539817807817
100.0,0.9230091096091684
