Percentage,Average Accuracy
1.0,0.28548339700264475
2.5,0.6494269761974729
5.0,0.8413164854540114
7.5,0.8084043491037322
10.0,0.8444019982368496
15.0,0.8936232735821331
20.0,0.8974434322656479
25.0,0.9115486335586245
30.0,0.9133117837202466
35.0,0.9114017043784897
40.0,0.9097854833970023
45.0,0.9127240669997061
50.0,0.9153687922421393
55.0,0.9155157214222741
60.0,0.9175727299441672
65.0,0.9171319424037615
70.0,0.9188950925653837
75.0,0.9188950925653837
80.0,0.9188950925653837
85.0,0.9203643843667352
90.0,0.9208051719071407
95.0,0.9205113135468701
100.0,0.9209521010872757
