Percentage,Average Accuracy
1.0,0.7829856009403465
2.5,0.8261827799000883
5.0,0.8925947693211872
7.5,0.898471936526594
10.0,0.9089039083161912
15.0,0.9115486335586245
20.0,0.9091977666764618
25.0,0.9153687922421393
30.0,0.9166911548633561
35.0,0.9197766676461948
40.0,0.9175727299441672
45.0,0.9210990302674116
50.0,0.9216867469879519
55.0,0.9208051719071407
60.0,0.9208051719071407
65.0,0.9234498971495738
70.0,0.919629738466059
75.0,0.9209521010872757
80.0,0.9210990302674116
85.0,0.9206582427270059
90.0,0.9209521010872757
95.0,0.921539817807817
100.0,0.9222744637084923
